Treatment,Species,Replication,Collection Date,Acclimation Date,Collection Time,Acclimation Time,Lake Temperature (Degrees C),Lab Temperature,Cl Concentration (mg/L),Dose Group,0 Hour,25 Hour,49 Hour,73 Hour,97 Hour,121 Hour
MgCl2,L. Minutus,3,12/2/25,12/2/25,7:30,16:00,5,10,1000,D1,5,5,5,5,5,4
MgCl2,L. Minutus,3,12/2/25,12/2/25,7:30,16:00,5,10,1100,D2,5,4,4,3,3,3
MgCl2,L. Minutus,3,12/2/25,12/2/25,7:30,16:00,5,10,1200,D3,5,5,5,5,5,5
MgCl2,L. Minutus,3,12/2/25,12/2/25,7:30,16:00,5,10,1300,D4,5,5,4,3,3,3
MgCl2,L. Minutus,3,12/2/25,12/2/25,7:30,16:00,5,10,1400,D5,5,4,4,4,4,4
MgCl2,L. Minutus,3,12/2/25,12/2/25,7:30,16:00,5,10,1500,D6,5,4,3,3,3,2
MgCl2,L. Minutus,3,12/2/25,12/2/25,7:30,16:00,5,10,1600,D7,5,4,4,4,2,2
MgCl2,L. Minutus,3,12/2/25,12/2/25,7:30,16:00,5,10,1700,D8,5,4,3,3,3,2
MgCl2,L. Minutus,3,12/2/25,12/2/25,7:30,16:00,5,10,0,C1,5,5,5,5,5,5
MgCl2,L. Minutus,3,12/2/25,12/2/25,7:30,16:00,5,10,0,C2,5,5,5,5,5,5
